final_corruption_rate,final_mean_integrity,total_extractions,integrity_mean,base_detection_prob,n_enforcers,oversight_structure,integrity_decay,corruption_contagion,seed
1.0,0.45045169663161616,8461,6.0,0.4,100,hierarchical,True,True,3
1.0,0.5355546493290402,7790,6.0,0.4,100,hierarchical,True,True,4
1.0,0.5514256324198602,7600,6.0,0.4,100,hierarchical,True,True,5
1.0,0.5169769518104874,7886,6.0,0.4,100,hierarchical,True,True,6
1.0,0.5996235462120011,7975,6.0,0.4,100,hierarchical,True,True,7
1.0,0.5038076815664341,7642,6.0,0.4,100,hierarchical,True,True,8
1.0,0.7204011047156443,7665,6.0,0.4,100,hierarchical,True,True,9
1.0,0.7786758728060598,5740,6.0,0.5,100,hierarchical,True,True,0
1.0,0.5994815030073398,6390,6.0,0.5,100,hierarchical,True,True,1
1.0,0.6858251168794114,6387,6.0,0.5,100,hierarchical,True,True,2
1.0,0.5973656501457487,6763,6.0,0.5,100,hierarchical,True,True,3
1.0,0.756614600399123,6034,6.0,0.5,100,hierarchical,True,True,4
1.0,0.5831456156454152,6105,6.0,0.5,100,hierarchical,True,True,5
1.0,0.8068429008446073,5765,6.0,0.5,100,hierarchical,True,True,6
1.0,0.7299053454265136,6315,6.0,0.5,100,hierarchical,True,True,7
1.0,0.7701751841841271,6029,6.0,0.5,100,hierarchical,True,True,8
1.0,0.7202682238323793,6165,6.0,0.5,100,hierarchical,True,True,9
1.0,0.8175050705794793,4672,6.0,0.6,100,hierarchical,True,True,0
1.0,0.6210574116637143,5181,6.0,0.6,100,hierarchical,True,True,1
1.0,0.5350450600533292,5629,6.0,0.6,100,hierarchical,True,True,2
1.0,0.6049170897248871,5586,6.0,0.6,100,hierarchical,True,True,3
1.0,0.6909685912139115,5133,6.0,0.6,100,hierarchical,True,True,4
1.0,0.8086484399666509,4814,6.0,0.6,100,hierarchical,True,True,5
1.0,0.5402770212050644,4964,6.0,0.6,100,hierarchical,True,True,6
1.0,0.5595717317561616,5599,6.0,0.6,100,hierarchical,True,True,7
1.0,0.7416499695691234,5084,6.0,0.6,100,hierarchical,True,True,8
1.0,0.6514435487711281,5045,6.0,0.6,100,hierarchical,True,True,9
0.94,0.6304014233180297,3907,6.0,0.7,100,hierarchical,True,True,0
0.92,0.6326560721180181,4288,6.0,0.7,100,hierarchical,True,True,1
0.97,0.5462486928493915,4684,6.0,0.7,100,hierarchical,True,True,2
0.95,0.5144488982751461,4371,6.0,0.7,100,hierarchical,True,True,3
0.94,0.45866223419584623,4410,6.0,0.7,100,hierarchical,True,True,4
0.93,0.6706421518348759,4199,6.0,0.7,100,hierarchical,True,True,5
0.86,0.5589130652287669,4056,6.0,0.7,100,hierarchical,True,True,6
0.96,0.4271001708969657,4663,6.0,0.7,100,hierarchical,True,True,7
0.95,0.6389371277147948,4215,6.0,0.7,100,hierarchical,True,True,8
0.94,0.6044182722340872,4262,6.0,0.7,100,hierarchical,True,True,9
1.0,0.07695333388716318,14057,7.0,0.1,100,hierarchical,True,True,0
1.0,0.10491552725978823,14025,7.0,0.1,100,hierarchical,True,True,1
1.0,0.10754868163652707,14505,7.0,0.1,100,hierarchical,True,True,2
1.0,0.23135267296532555,14337,7.0,0.1,100,hierarchical,True,True,3
1.0,0.05072943263418571,14185,7.0,0.1,100,hierarchical,True,True,4
1.0,0.09072518605384611,13972,7.0,0.1,100,hierarchical,True,True,5
